Tools,Species,Recall,Precision,F1-score
BactSNP,E. coli,0.9742857142857143,1.0,0.9869753979739508
GATK,E. coli,0.9871428571428571,0.9899713467048711,0.9885550786838341
Samtools,E. coli,0.99,0.9914163090128756,0.9907076483202287
VarScan,E. coli,0.9857142857142858,0.9971098265895953,0.9913793103448276
Snippy,E. coli,0.9771428571428571,0.8636363636363636,0.9168900804289544
AccuSNV,E. coli,0.99,1.0,0.9949748743718593
Breseq,E. coli,0.9671428571428572,0.8826597131681877,0.9229720518064076
freeBayes,E. coli,0.9042857142857142,1.0,0.9497374343585896
BactSNP,C. acnes,0.9828571428571429,1.0,0.9913544668587896
GATK,C. acnes,0.9914285714285714,0.9871977240398293,0.9893086243763364
Samtools,C. acnes,0.9914285714285714,0.994269340974212,0.9928469241773963
VarScan,C. acnes,0.9885714285714285,0.9971181556195965,0.9928263988522238
Snippy,C. acnes,0.9885714285714285,0.9117259552042161,0.9485949280328992
AccuSNV,C. acnes,0.99,1.0,0.9949748743718593
Breseq,C. acnes,0.9742857142857143,0.9551820728291317,0.9646393210749646
freeBayes,C. acnes,0.9257142857142857,1.0,0.9614243323442137
BactSNP,K. pneumoniae,0.9814285714285714,1.0,0.9906272530641672
GATK,K. pneumoniae,0.9914285714285714,0.9760900140646976,0.9836995038979447
Samtools,K. pneumoniae,0.9957142857142857,0.9957142857142857,0.9957142857142857
VarScan,K. pneumoniae,0.9914285714285714,0.9985611510791367,0.9949820788530466
Snippy,K. pneumoniae,0.99,0.8828025477707007,0.9333333333333333
AccuSNV,K. pneumoniae,0.9914285714285714,1.0,0.9956958393113343
Breseq,K. pneumoniae,0.9742857142857143,0.9166666666666666,0.9445983379501385
freeBayes,K. pneumoniae,0.9114285714285715,1.0,0.953662182361734
BactSNP,C. difficile,0.9642857142857143,1.0,0.9818181818181818
GATK,C. difficile,0.9785714285714285,0.9813753581661891,0.9799713876967096
Samtools,C. difficile,0.9842857142857143,0.9942279942279942,0.9892318736539842
VarScan,C. difficile,0.9814285714285714,0.9942112879884226,0.9877785765636233
Snippy,C. difficile,0.9742857142857143,0.844059405940594,0.9045092838196287
AccuSNV,C. difficile,0.9828571428571429,1.0,0.9913544668587896
Breseq,C. difficile,0.96,0.8484848484848485,0.900804289544236
freeBayes,C. difficile,0.8942857142857142,1.0,0.9441930618401206
BactSNP,S. aureus,0.98,1.0,0.98989898989899
GATK,S. aureus,0.99,0.9774330042313117,0.9836763662171752
Samtools,S. aureus,0.9928571428571429,0.99002849002849,0.9914407988587732
VarScan,S. aureus,0.99,0.9985590778097982,0.994261119081779
Snippy,S. aureus,0.9928571428571429,0.9037711313394018,0.9462219196732471
AccuSNV,S. aureus,0.9914285714285714,1.0,0.9956958393113343
Breseq,S. aureus,0.9571428571428572,0.9128065395095368,0.9344490934449093
freeBayes,S. aureus,0.9114285714285715,1.0,0.953662182361734
BactSNP,S. pneumoniae,0.9614285714285714,1.0,0.9803350327749454
GATK,S. pneumoniae,0.98,0.9758179231863442,0.977904490377762
Samtools,S. pneumoniae,0.99,0.99,0.99
VarScan,S. pneumoniae,0.9857142857142858,0.9985528219971056,0.9920920201294033
Snippy,S. pneumoniae,0.9814285714285714,0.9283783783783783,0.9541666666666667
AccuSNV,S. pneumoniae,0.9885714285714285,1.0,0.9942528735632183
Breseq,S. pneumoniae,0.96,0.9118046132971506,0.9352818371607515
freeBayes,S. pneumoniae,0.9,1.0,0.9473684210526315
